"data";"valor"
"01/01/2009";"4392158"
"01/01/2010";"4748476"
"01/01/2011";"5149728"
"01/01/2012";"5559623"
"01/01/2013";"5993790"
"01/01/2014";"6206218"
"01/01/2015";"6186955"
"01/01/2016";"5902741"
"01/01/2017";"5768761"
"01/01/2018";"5862384"
"01/01/2019";"6036025"
"01/01/2020";"6288447"
"01/01/2021";"6583233"
"01/01/2022";"7214047"
