year,admin_fee_total,avg_term_total,admin_fee_auto,avg_term_auto,admin_fee_housing,avg_term_housing,source_dataset,source_url,note
2024,18.35,108.9,15.01,89.7,20.84,216.8,BCB Panorama do Sistema de Consórcios 2025,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_de_consorcios_2024.pdf,Valores extraídos manualmente do relatório do Banco Central
2023,17.95,107,15.84,89.8,20.58,214.6,BCB Panorama do Sistema de Consórcios 2024,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_de_consorcios_2023.pdf,Valores extraídos manualmente do relatório do Banco Central
2022,17.67,100.5,15.26,84,21.09,211.7,BCB Panorama do Sistema de Consórcios 2023,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_de_consorcios_2022.pdf,Valores extraídos manualmente do relatório do Banco Central
2021,16.94,97.2,14.75,81,19.86,208.3,BCB Panorama do Sistema de Consórcios 2022,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/v4_relatorio_panorama_consorcios_2021_301699_2022.pdf,Valores extraídos manualmente do relatório do Banco Central
2020,16.51,94.8,14.74,82.7,19.46,197.7,BCB Panorama do Sistema de Consórcios 2021,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_consorcios_relatorio_2021.pdf,Valores extraídos manualmente do relatório do Banco Central
2019,17.13,96.3,16.44,85.9,18.53,202.5,BCB Panorama do Sistema de Consórcios 2020,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/5_relatorio_panorama_consorcios_br_0346_2020.pdf,Valores extraídos manualmente do relatório do Banco Central
2018,16.85,90.7,16.6,80,19,200,BCB Panorama do Sistema de Consórcios 2019,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/4_panorama_consorcios_br_0423_2019.pdf,Valores extraídos manualmente do relatório do Banco Central
2017,16.14,88.81,14.87,78,17.9,199,BCB Panorama do Sistema de Consórcios 2018,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_de_consorcios2017.pdf,Valores extraídos manualmente do relatório do Banco Central
2016,16.3,84.77,14.9,76,19.4,192,BCB Panorama do Sistema de Consórcios 2017,https://www.bcb.gov.br/content/estabilidadefinanceira/panoramaconsorcio/panorama_de_consorcios.pdf,Valores extraídos manualmente do relatório do Banco Central
