"data";"valor"
"01/01/2015";"0,50"
"01/01/2016";"0,52"
"01/01/2017";"0,52"
"01/01/2018";"0,52"
"01/01/2019";"0,52"
"01/01/2020";"0,51"
"01/01/2021";"0,51"
"01/01/2022";"0,51"
